"Username","Content","Date","Rating","Source","Engagement"
"Steve","Nothing but issues trying to return items. It was an ordeal trying to return items and the return labels were incorrect. It's now an ordeal getting the refund for items that were received by them three weeks ago. Constant issues dealing with their support who just seem to tell me to wait a few more days and contact them back if (when) the money still hasn't arrived. Constantly having to go over again and again the same issues with a different support person each time.",2023-11-04,1,"Trust Pilot",NA
"Brad Jakubiec","Zero Stars, low low low quality items.  Sent me 8 items, I returned them all.  Apparently, when returning I need to pay to ship them all over so I was charged $10 for 3 returns on a single order.  Literally the lowest quality possible merch I have ever seen anywhere relating to professional sports.  Order from walmart to save $, save time, and improve the quality of your purchase.",2023-11-03,1,"Trust Pilot",NA
"Mel Coombs","This company is the worse experience i have ever had.Paid for an England kit for my 6 year old Grandson on the 28th July 2023.3 months later, I have no kit and after several attempts to claim my money back, the company are saying they have already returned my money in September, despite my bank telling me that the money has not been returned.I would strongly advise anyone from purchasing anything from this company.As they have a link on the official England FA website, i thought there wouldn't be a problem, how wrong was i",2023-11-03,1,"Trust Pilot",NA
"Karen Schwenk","I Received the wrong size and the color not as advertised. I sent two messages asking about the color and got no reply. I am willing to accept the wrong size (men’s rather than women’s) my husband is pleased with his item.We purchase a lot of gear, that was our last purchase from Fanatics. No reply=very poor customer service The end.Karen S",2023-11-04,1,"Trust Pilot",NA
"Stephen W.","I placed an order on 10/24.  I received no confirmation email. They charged my credit card for the order.  However, when I used chat customer service, they could not find my order and abruptly terminated the chat.  I then called customer service, and they again could not find any record of my order despite charging my credit card.",2023-11-02,1,"Trust Pilot",NA
"Alonna Greene","They classify all their jerseys as ""customized"" and no returns or exchanges can be made.  I ordered the jersey  off their website exactly as shown.  If you need a different size.....too bad!   No customizations were made.   If you need a different size.....too bad!  Just another company out to screw their customers.  DO NOT ORDER FROM THIS COMPANY!",2023-11-02,1,"Trust Pilot",NA
"Kat Justice","I ordered a Tennessee jacket because of Bidenomics my monthly bills are sky high. I cannot afford it. so I tried to contact customer service. But no number. They put the order on my old email address which is no good. I need to cancel the order. It  will over draft me. I tried to chat but it just  kept saying something went wrong. The order number is 1935-891-0654 I am overwhelmed with stress. Please cancel",2023-11-03,1,"Trust Pilot",NA
"Nicole","I ordered a Jersey for my son’s birthday on Oct.21. I have received multiple emails saying it it delayed. It is soon his birthday and no jersey. I can not find a customer service number to call (I am located in Germany). I emailed Fanatics with my concern and still no reply. It is now Nov.3 and I have no idea what is going on with my order. I am very disappointed to say the least.",2023-11-03,1,"Trust Pilot",NA
"David Timmins","I ordered a Mercedes Bobble Beanie and instead received an Alonso Aston Martin tee shirt. I have tried contact customer services and keeps saying order number not known.",2023-11-02,1,"Trust Pilot",NA
"Jessica Meeks","Horrible! I ordered two weeks before my husbands birthday for his gift, it’s now a week past his birthday and they still have not shipped my order! It now says delivery date is end of November! And I can’t cancel my order!!! 😠 never will order again",2023-11-01,1,"Trust Pilot",NA
"H F","Orders finally received.  4 days past original date.     According to Fanatics customer service my dates are off.  Nevertheless, the system should update customers real-time with actual delivery date.  Please use Amazon as benchmark. Product prices on the high side.   Quality is ok.    #1 - 107-7062-4526#2 - 21-8143-8619",2023-11-03,2,"Trust Pilot",NA
"Anonymous","They don't even deserve one star. Ordered a rugby shirt, sent a football one.  Contacted chat, had to speak to several people to get it sorted because I didn't respond to them within 2 minutes so they cut me off.  Please not I was hold ages, and wasn't sure when they would come back, so I grabbed a drink!!! anyways They told me I had to return the shirt but not to worry they would send me a voucher for this so it would be free, but that I had to do this within 48hr. or I would have to pay.  Um who's mistake was this and   I am sorry but I work and this is not convenient. I will return as soon as I can and it will still be free. Eventually they agreed to send a new shirt. Sadly they did exactly the same again sent me the exact same wrong shirt and its even says its the wrong shirt on the label someone has written it on there but they sent it anyways, who does that!!!   Today I contacted again, very rude rep, unhelpful, wouldn't give me any details told me to complain to customer services, but wouldn't give me the email and then just stopped responding but didn't leave the chat.  I waited ages.  Eventually spoke to another rep who agreed to process for a refund, of course he can't do that though and it has to go to the back office, so who knows when I will hear from them and get a refund!! What a joke!! DO NOT USE THIS COMPANY",2023-10-29,1,"Trust Pilot",NA
"Jim","I ordered a college embroidered logo denim shirt on September 10, 2023 (Fanatics Order Number 279-4768-9929) and it was never received as of October 29, 2023.  Fanatics.com says there are ""...issues out of their control"" and cannot fulfill this order!",2023-11-04,1,"Trust Pilot",NA
"Laura Tagliaferri","I ordered a women's T-shirt & pants to match. The shirt was fine, but yhe pants elastic waist was totally all stretched out.  I've tried to get through & no one speaks English. I still ordered a 12 mth PJ set for my grand baby,  they sent it for 12 yr old.... that was on Nov 4, 23",2023-10-27,1,"Trust Pilot",NA
"Zeke","I Purchased a tee shirt for $47.72 (all taxes & fees)..it didn’t fit and so in the return I opted for the e-card and tried next size bigger AND paid another $6.98 for s&h..still didn’t fit-too small and too narrow (poor sizing).. finally, wanting to cut my losses-opted for a $9.99 fee to credit back to my credit card instead..THEN they gave me an e-card in the amount of $22.77 instead (can’t believe it)..called customer service—he said he’d expedite it (sure)—will hear back in 24hs—that’s days ago already. I’m stuck with a useless e-card and waiting for a so sorry for your experience..if I could give a zero star review I would have—I wouldn’t advise anyone to purchase from Fanatics!!!!",2023-10-27,1,"Trust Pilot",NA
"Rebecca Kuhn","Received my order yesterday opened items today the Alabama sweater I purchased is horrible quality very thin, size runs way to small. Paid 40.00 for a 10 dollar sweater my granddaughter could wear. Beyond disappointed",2023-10-26,1,"Trust Pilot",NA
"Adam Black","Had not received any updates regarding my order and when I reached out Lana responded within minutes and was able to update my order upon my request.  Awesome team over there.",2023-10-27,5,"Trust Pilot",NA
"Natalie W","Lilly provided me with some of the best customer service I have ever received from any company. She was super fast to respond and correct my issue. She is the best!! I will definitely shop at fanatics.com again.",2023-10-24,5,"Trust Pilot",NA
"Gina Boudakian","In September I ordered two wooden Seminole Indian Pumpkin signs.  By mistake, Fanatics sent me two signs with the letters ""FSU.""  I have spent a total of one hour trying to get this straightened out.  Both agents assured me I would get the Seminole pumpkins by October 27th.  It is now October 30th and no pumpkin signs or email confirmation.  My son also previously ordered FSU clothing and he finally received it after the game.  They said they would send it overnight  on game day and this never happened.  We both agree that customer service gives you different stories.Well... I received my order today and once again it is WRONG!  Fanatics sent me the same pumpkin signs with the letters ""FSU"" on them and not the Seminole Indian.  I called customer service for the THIRD time and they said they were ""glad to send a return label and I was not responsible for shipping.""  They also send they would refund me and I got a confirmation that the refund was for $4.99 (the shipping) and not the full $44.00+ that I paid.  They also said if I reordered the signs they would give me 30% off.  No thanks when they couldn't get it right after two tries and Halloween is tomorrow.  Fanatics has the WORST customer service that I have ever dealt with. Do not order from them.  SCAM.",2023-11-02,1,"Trust Pilot",NA
"Kevin","iLana provided me with excellent customer service! I had an issue with two orders that were handled very professionally and with even better help than I could have expected. I have run into problems with Fanatics customer service before but this time was flawless and it was 100% because of the customer service rep, Lana.",2023-10-31,5,"Trust Pilot",NA
"Liam C","I was initially dubious, given the reviews on this site. However, the product arrived within the time frame provided (granted slower than people are perhaps used to in the times of amazon next day).The product is of good quality and everything is lined up and done to a good standard.Contacting the helpline worked well and each time they gave friendly updates on my products transportation.Overall very happy (and perhaps surprised given the reviews) with the service and product. Would definitely shop here again.",2023-10-18,5,"Trust Pilot",NA
"steve rasmee","Ordered a sweater on October 18, was suppose to be delivered next business day on October 19, and so far nothing no updates or anything",2023-10-31,1,"Trust Pilot",NA
"Lynn Haynes","Terrible product for the price.  Women's hoodie sweatshirt cut very square & not tapered to fit.",2023-11-01,1,"Trust Pilot",NA
"Marco","Had an inquiry about a gift I ordered and spoke to Josh, I was transferred to his department accidently but, he was super friendly from the start all the way to the end of the conversation. Helped me and answered all my questions in a timely manner which was much appreciated as well as transferred me to the correct department. Just amazing service all around.",2023-10-17,5,"Trust Pilot",NA
"Mike","Sent out a faulty item. Wouldn't let me return it in person to the club shop as I bought it online. Then had the temerity to charge me double the actual postage cost to return the faulty item.",2023-10-24,1,"Trust Pilot",NA
"James Berresford","Ordered a football kit for my son on the day they went on sale....3 months later i have an email to say the shirt has been cancelled. I received the shorts last week and the socks...well who knows where there are! Obviously the shorts and socks are no good without the short. Terrible company to buy from, no response from customer services and several other items still waiting to be delivered/cancelled.",2023-10-18,1,"Trust Pilot",NA
"tim anderson","Ordered jersey for my sons birthday. Their ""on track"" shipping delivered to the wrong address, complete with picture of front porch where they left it. After letting ""on track"" know of the situation they said they'd get back to me within 48 hours. Not a word. Searching for a way to contact fanatics was a total farse. No email, no phone numbers, just the recirculating bot chat go to nowhere circle. I googled fanatics phone number and pissedconsumer came up first with the number, gee, go figure. After spending another 15 minutes with their less than helpful recirculating bot, I got a human. Not sure what country I was talking to but at least a human. Of course they have no idea where it's at and of course now that jersey is not available. What a cluster F of a company. I guess I'll make sure the website I order from, from now on, I'll make sure they have a phone number, email customer service prominatly displayed. The ones that don't (fanatics) are unethical.",2023-10-20,1,"Trust Pilot",NA
"Carl Melville","Would give them less than one if I could. 4 months nearly after ordering and received 2/3 of my order. Despite at the time of ordering it should have arrived by the 5th August. Terrible company. Not sure why anyone would chose to use them unless forced to, like Barnsley fans have been.",2023-10-18,1,"Trust Pilot",NA
"John Barsness","Ordered a hoodie; received in a timely fashion and tried it on.  It fit well so I threw away the package and proceeded to wear the hoodie... just on my patio and to the office to work one day.  Now I see it is puckering and pilling- the fabric is 100% polyester and it is just JUNK.  I haven't snagged it or anything and it looks like  I have.  So figuring I will return it; I see must have tags and be in new unworn condition.  What the hell kind of return policy is that?  Who returns an item in unworn condition unless it is too large or small or whatever?  What if it is JUNK?  Tried to chat with the chat function, does not work.  At this point will just probably keep it and take the hit.  What a crap return policy.  I am sticking with Amazon going forward at least there I can return something when it is not going to work.  Very disappointed in the product and the company.UPDATE NOVEMBER 3, 2023:  Fanatics did reach out  to me and promptly issued me a return label and took the item back and refunded my purchase price and shipping in full.  So, very pleased with them for doing so.  Just wish it was a little easier to return defective items that you have worn.  In any event, changing up my one star review to FOUR stars for them proactively taking care of the issue.",2023-10-25,4,"Trust Pilot",NA
"Greg Guthrie","Ordered a Scotland rugby top and received a pair of Manchester United shorts with a Scotland label on the packaging.100% wouldn’t recommend.",2023-10-20,1,"Trust Pilot",NA
"Angie L","The items arrived timely and were good quality. HOWEVER their return policy is a joke. One item was too big, I was able to return it but they charged me $9.99 to return it. So a $34.99 item that they get back UNUSED and in perfect condition, I was refunded $18, after their return charge and fees. And they can turn around and sell it again, keeping the $17 I paid to them that they did NOT refund.UPDATE: After posting this review, Fanatics did reach out to me and refund the $9.99 fee for returning the item. Still seems like they could have a better return policy, instead of in response to a complaint.",2023-10-10,3,"Trust Pilot",NA
"Mary","Ordered a dog costume, way too small, couldn’t print label because I didn’t have a thermal printer.  I’m going to return it to their address in FL.  If I don’t get my $ I’ll put in a complaint with my Amex",2023-10-12,1,"Trust Pilot",NA
"Matthew Whitthread","Its three weeks since I ordered a football shirt and its still yet to arrive and customer service cant tell me when it will arrive, they simply don't know! They have told me I cant have a refund even though they the situation is clearly really poor, they quote ""company policy"" as if its some type of defence",2023-10-18,1,"Trust Pilot",NA
"Emigdio Avila","Do not order jerseys from them! I read bad reviews and still gave them the benefit of the doubt. I ordered a jersey over a month ago and everytime I contact customer service I just keep getting the same runaround! They don't care! My fiances birthday has come and gone and now the game we went to together has come and gone and still no jersey. Everyone is better off shopping elsewhere or going directly to team store! Fanatics is a joke! Oh and don't believe what they advertise! When I first placed my order over a month ago it said ships within 2 days, they must have mispelled months! Avoid being in the same fight as others and don't order from them!",2023-10-09,1,"Trust Pilot",NA
"Tony","Bought a shirt and when I received it the item looked like it had just been screwed into a ball and because of this the tags had indented the number on the shirt. If I could provide pictures I would. Very disappointed as this was meant to be a birthday gift and now I have to wait weeks for a refund. I’ll not use this company ever again. I do not recommend them.",2023-10-08,1,"Trust Pilot",NA
"Ryan Green","Item arrived, it was too small.I wanted to return and swap for larger size. Then I found out that I would have to pay return postage fee in addition to another postage fee. As such I'm returning and buying in a different size elsewhere. It will be more expensive to buy the item elsewhere, but on principle I would rather spend more at a different place. I followed the size guide as published on the Fanatics website next to the item, and I am still asked to pay return postage for an item which is ill-fitting (and c.£100 by the way)?Beyond unsavoury. I shall not be purchasing from Fanatics (or subsidiaries) again.",2023-10-07,1,"Trust Pilot",NA
"Chris","Ordered a Jersey and the day it was supposed to deliver I checked the tracking and it said that the address was incomplete and they could not deliver. I checked on Fanatics and they DID have my correct and complete address, but I sent it to the carrier anyway, just in case. The following day it says the package was delivered even though it never came and I waited for it ALL day they said it was delivered and signed for by ME???!!! That was a blatant lie. The package never came to my home and the ""signature"" they showed me said ""DNS"". I don't even know what DNS is, but it is not my signature. Fanatics did credit me and offered me a 30% off coupon which I apperciate. In the end, my feeling is this was an issue with OnTrac, the carrier that they use and not Fanatics themselves. Something was definitely shady with that carrier.Edit: Just tried to use the 30% off code given to me by Fanatics for my trouble and it is no more that the normal 30% off given for anyone's order. It is not in addition to their normal price, so basically useless. I found another vendor to purchase from. Keep your code. Back to ONE STAR!",2023-10-25,1,"Trust Pilot",NA
"john gaskin","3rd time I've ordered from fanatics and i still haven't received any items, I guess that makes me the fool. On my last order I specifically ordered item advertised as in stock ""ready to ship"" and a week later I contacted them. They told me what i expect is a generic response ""experiencing shipping issues""  same response for every time I've ordered. Before I could ask further questions I was issued a refund so I feel sorry for the customer complaints department as they proved to me they get so many issues that they just go straight to refunds lol. 3 bad experiences but thankfully I've received a refund every time. Won't be trying again.",2023-11-04,1,"Trust Pilot",NA
"Shannon","If I could give them one star, I would. Believe all of the negative reviews. I have now placed three orders on this website each have had major issues. This time, I paid for expedited shipping, supposed to be dispatched the next day. My boyfriend was getting a hoodie to wear to the London games. I took OVER A WEEK to arrive despite the £6.95 shipping g cost. Tried to email them, no response. I would say shocking customer service, but in reality there is no customer service.",2023-10-21,1,"Trust Pilot",NA
"Natasja Muermans","very bad. I have yet to get any money back from them until today I have not received anything, what a sh.t company. when you get that contact they just say we can't find anything.",2023-10-23,1,"Trust Pilot",NA
"Misty Zatrock","I ordered a few items.  All too big.  I get having a shipping fee, but they are charging me shipping per item plus some other surprise fees I saw about on this site.",2023-10-21,1,"Trust Pilot",NA
"Chris roemmich","Don't order anything.  You will never receive it.  I ordered a sweatshirt for my kid and after the 1st time of not receiving it I was told it was lost in shipping.  The 2nd try was also lost in shipping.  UPS never received the item and the company tells me they have no information as to why and did I want them to reorder it again a third time.  NO F'ING WAY.  Refund me.",2023-10-16,1,"Trust Pilot",NA
